,Chargers,Battery capacity,Wind CAPEX,PV CAPEX,Battery CAPEX,Chargers CAPEX,Total CAPEX,Wind OPEX,PV OPEX,Battery OPEX,Total OPEX,Charging sales,Consumption sales,Grid sales/cost,Yearly income,Yearly net icome,Payback period [PBY],Internal Rate of Return [IRR],Service coverage on yearly basis,Amount of passenger kilometers covered,E-mobility covered,Times earth circumnavigated by EVs,Underloaded hours,Underload percent of time,Total energy underload,Underload percentage of energy,Yearly grid import,Yearly grid export,Yearly curtailed energy,Curtailed percentage
0,2,1500.0,1680.0,720.0,420.00000000000006,130.0,2950.0,7.2,6.0,12.0,25.2,385.9632,6.000000359999999,13.94867404857585,405.91187440857584,380.7118744085758,7.748641947621766,0.12905487268087315,0.997716894977169,5.513759999999999,459.4799999999999,137.58602620087333,20,0.228310502283105,0.381183108872922,-0.028502755390844053,23.179654062026472,673.8452322531663,679.1040986341997,25.461483230689595
0,2,1600.0,1680.0,720.0,448.00000000000006,130.0,2978.0,7.2,6.0,12.8,26.0,385.9632,6.000000359999999,14.308686258046581,406.27188661804655,380.27188661804655,7.831238923510453,0.1276937161242601,0.9980593607305936,5.513759999999999,459.4799999999999,137.58602620087333,17,0.19406392694063926,0.3435168226643301,-0.025686279746213823,20.04495240938735,672.5722123687999,677.1747505797182,25.38914665779284
0,2,1700.0,1680.0,720.0,476.00000000000006,130.0,3006.0,7.2,6.0,13.6,26.8,385.9632,6.000000359999999,14.624440629844445,406.5876409898444,379.7876409898444,7.914949502215058,0.126343193942064,0.9985159817351598,5.513759999999999,459.4799999999999,137.58602620087333,13,0.14840182648401826,0.2750595873042945,-0.02056742796925581,17.33465725938185,671.6509114906869,675.2872990724658,25.318380901854535
0,2,1800.0,1680.0,720.0,504.00000000000006,130.0,3034.0,7.2,6.0,14.4,27.6,385.9632,6.000000359999999,14.913469048942604,406.8766694089426,379.27666940894255,7.999437467978526,0.1250087901809303,0.9986301369863013,5.513759999999999,459.4799999999999,137.58602620087333,12,0.136986301369863,0.2686237274982898,-0.020086190124476412,14.76013404552284,670.3394321853183,673.9878193041694,25.269659825961106
0,2,1900.0,1680.0,720.0,532.0,130.0,3062.0,7.2,6.0,15.2,28.4,385.9632,6.000000359999999,15.179708006349987,407.14290836634996,378.7429083663499,8.084639823904485,0.12369134825811559,0.998972602739726,5.513759999999999,459.4799999999999,137.58602620087333,9,0.10273972602739725,0.22117522516986768,-0.01653825469909067,12.35672860273653,668.9719632676821,672.8744342766909,25.22791595449359
0,2,2000.0,1680.0,720.0,560.0,130.0,3090.0,7.2,6.0,16.0,29.2,385.9632,6.000000359999999,15.404880424879767,407.36808078487974,378.16808078487975,8.170969886159538,0.1223844921633915,0.9992009132420091,5.513759999999999,459.4799999999999,137.58602620087333,7,0.07990867579908677,0.1652027189398675,-0.012352941613200363,10.29929976602518,667.6917158253167,672.011280376115,25.195553937228173
0,3,0.0,1680.0,720.0,0.0,195.0,2595.0,7.2,6.0,0.0,13.2,440.74800000000005,6.000000359999999,-20.924053758648384,425.8239466013517,412.6239466013517,6.289019387687421,0.15900730119512588,0.9426940639269407,6.296400000000001,524.7,157.11540860885842,502,5.730593607305936,27.147684214928567,-1.7842641613796155,327.3773743351941,799.924721330035,700.2764562855739,26.255293237695614
0,3,100.0,1680.0,720.0,28.000000000000004,195.0,2623.0,7.2,6.0,0.8,14.0,440.74800000000005,6.000000359999999,-15.364184868511064,431.38381549148903,417.38381549148903,6.284383588068201,0.15912459606995388,0.9514840182648402,6.296400000000001,524.7,157.11540860885842,425,4.851598173515981,23.467891121837795,-1.5424121166411695,273.9182875412341,755.0240429657283,688.0200411785161,25.79576647538576
0,3,200.0,1680.0,720.0,56.00000000000001,195.0,2651.0,7.2,6.0,1.6,14.8,440.74800000000005,6.000000359999999,-11.466454925699207,435.2815454343008,420.48154543430087,6.304676218933399,0.1586124275497174,0.9570776255707762,6.296400000000001,524.7,157.11540860885842,376,4.292237442922374,20.946563144340942,-1.3766994498179153,236.77671655040723,725.2253857240679,678.1257994518527,25.42480409964618
0,3,300.0,1680.0,720.0,84.00000000000001,195.0,2679.0,7.2,6.0,2.4,15.6,440.74800000000005,6.000000359999999,-8.455293955489942,438.2927064045101,422.69270640451015,6.337937606702492,0.15778003225252338,0.9611872146118722,6.296400000000001,524.7,157.11540860885842,340,3.881278538812785,18.733880431930103,-1.2312722954056843,208.17258787458843,702.6511811533445,669.8531926343467,25.114641283398075
0,3,400.0,1680.0,720.0,112.00000000000001,195.0,2707.0,7.2,6.0,3.2,16.4,440.74800000000005,6.000000359999999,-5.9134506681425085,440.83454969185755,424.4345496918575,6.377897374201278,0.15679148492495662,0.9662100456621004,6.296400000000001,524.7,157.11540860885842,296,3.3789954337899544,16.367262047767603,-1.0757278175381677,184.35163378096797,685.2201421791397,661.0666591307686,24.785209940092702
0,3,500.0,1680.0,720.0,140.0,195.0,2735.0,7.2,6.0,4.0,17.2,440.74800000000005,6.000000359999999,-3.7446005069917994,443.00339985300826,425.8033998530083,6.4231520954134,0.15568680067751672,0.9712328767123287,6.296400000000001,524.7,157.11540860885842,252,2.8767123287671232,13.734403391503584,-0.9026848682700789,164.31551460895568,671.7935527651065,651.7942707165255,24.437562557912994
0,3,600.0,1680.0,720.0,168.00000000000003,195.0,2763.0,7.2,6.0,4.8,18.0,440.74800000000005,6.000000359999999,-1.817156833556295,444.93084352644377,426.93084352644377,6.471774157092171,0.15451713482679832,0.9753424657534246,6.296400000000001,524.7,157.11540860885842,216,2.4657534246575343,11.835879853380012,-0.777905624420368,146.47481119440565,659.6877826297765,644.1308138991817,24.15023845305729
0,3,700.0,1680.0,720.0,196.00000000000003,195.0,2791.0,7.2,6.0,5.6,18.8,440.74800000000005,6.000000359999999,-0.11747229815880746,446.6305280618413,427.8305280618413,6.523611142579735,0.1532893328777647,0.9780821917808219,6.296400000000001,524.7,157.11540860885842,192,2.191780821917808,10.063588143622935,-0.6614228866592283,130.77122780924967,649.1572471198959,637.1554743141492,23.888713758640243
0,3,800.0,1680.0,720.0,224.00000000000003,195.0,2819.0,7.2,6.0,6.4,19.6,440.74800000000005,6.000000359999999,1.4065619434771433,448.1545623034772,428.5545623034772,6.577925538460957,0.15202361202677445,0.9818493150684932,6.296400000000001,524.7,157.11540860885842,159,1.8150684931506849,8.058477520925218,-0.529638274927457,116.94230899333283,640.9740227057499,629.4746692896807,23.600739221714292
0,3,900.0,1680.0,720.0,252.00000000000003,195.0,2847.0,7.2,6.0,7.2,20.4,440.74800000000005,6.000000359999999,2.9196215384311563,449.6676218984312,429.26762189843123,6.632226272760043,0.1507789328761613,0.9843607305936073,6.296400000000001,524.7,157.11540860885842,137,1.5639269406392695,7.236576379623604,-0.4756193487085108,103.35440478387326,633.5568854566126,622.4520011880568,23.33744005084519
0,3,1000.0,1680.0,720.0,280.0,195.0,2875.0,7.2,6.0,8.0,21.2,440.74800000000005,6.000000359999999,4.254447231951375,451.00244759195147,429.8024475919515,6.689119655106025,0.149496503510244,0.9858447488584475,6.296400000000001,524.7,157.11540860885842,124,1.4155251141552512,6.3603871443032265,-0.4180323722728166,91.24863284610205,626.4210535085653,616.5758719630126,23.117127780567724
0,3,1100.0,1680.0,720.0,308.00000000000006,195.0,2903.0,7.2,6.0,8.8,22.0,440.74800000000005,6.000000359999999,5.414160925709455,452.16216128570954,430.16216128570954,6.748617756901811,0.14817849165887342,0.9877853881278539,6.296400000000001,524.7,157.11540860885842,107,1.221461187214612,5.67697226232476,-0.37311536677011115,80.7175224678521,620.1540493676387,611.5983508437107,22.930506803364974
0,3,1200.0,1680.0,720.0,336.00000000000006,195.0,2931.0,7.2,6.0,9.6,22.8,440.74800000000005,6.000000359999999,6.502943566123333,453.2509439261234,430.4509439261234,6.809138280117319,0.14686146159199023,0.9888127853881279,6.296400000000001,524.7,157.11540860885842,98,1.1187214611872145,5.302069615390232,-0.3484751303640979,71.02149255860328,615.2252054379497,606.4262622172164,22.736590954386923
0,3,1300.0,1680.0,720.0,364.00000000000006,195.0,2959.0,7.2,6.0,10.4,23.6,440.74800000000005,6.000000359999999,7.42851906596387,454.17651942596393,430.5765194259639,6.872181520592159,0.1455142005494978,0.9906392694063927,6.296400000000001,524.7,157.11540860885842,82,0.9360730593607305,4.650782064739447,-0.30566967314060906,62.771003871789034,610.9957819975,601.7239094202009,22.560286795529997
