T2m,WS10m
2.22,2.89
0.91,2.89
-0.4,2.88
-0.73,2.64
-1.05,2.4
-1.38,2.17
-1.79,1.81
-2.2,1.45
-2.6,1.09
-2.31,1.24
-2.01,1.39
-1.71,1.54
-0.82,1.77
0.06,2
0.95,2.23
2.49,2.42
4.03,2.61
5.57,2.8
5.74,3.14
5.92,3.47
6.09,3.81
4.82,3.3
3.55,2.8
2.28,2.29
1.97,2.62
1.66,2.94
1.35,3.27
1.18,3.15
1.01,3.03
0.84,2.91
0.93,2.98
1.02,3.05
1.11,3.12
1.12,3.45
1.13,3.79
1.14,4.12
1.96,4.22
2.77,4.31
3.59,4.4
4.86,5.01
6.13,5.61
7.4,6.22
7.36,6.26
7.31,6.29
7.27,6.33
6.52,5.95
5.77,5.57
5.02,5.19
4.89,5.1
4.77,5.01
4.64,4.92
4.63,4.95
4.63,4.97
4.62,4.99
4.31,5.34
4.01,5.68
3.71,6.03
3.82,6.2
3.94,6.38
4.06,6.55
4.56,6.68
5.06,6.8
5.57,6.92
5.84,6.57
6.12,6.22
6.4,5.86
6.47,5.86
6.55,5.86
6.62,5.86
6.46,5.73
6.31,5.6
6.16,5.46
6.07,5.61
5.99,5.76
5.9,5.9
5.73,5.63
5.57,5.36
5.4,5.09
5.06,4.95
4.73,4.8
4.4,4.66
3.95,4.44
3.51,4.21
3.07,3.99
3.34,4.29
3.61,4.59
3.88,4.9
4.33,4.6
4.78,4.31
5.23,4.01
5.12,3.94
5,3.88
4.89,3.81
4.28,3.32
3.67,2.84
3.07,2.36
2.8,2.34
2.54,2.33
2.28,2.32
2.19,2.23
2.11,2.13
2.02,2.04
1.52,2
1.02,1.97
0.53,1.93
0.21,2.05
-0.1,2.16
-0.41,2.28
0.64,2.56
1.69,2.84
2.75,3.12
3.94,3.75
5.14,4.38
6.34,5.01
6.47,5.17
6.59,5.33
6.72,5.49
5.98,5.51
5.24,5.54
4.5,5.56
4.45,6.21
4.4,6.86
4.35,7.52
3.6,7.82
2.84,8.11
2.09,8.41
2.55,8.33
3.01,8.24
3.47,8.15
4.02,7.72
4.58,7.3
5.14,6.87
5.46,6.42
5.78,5.98
6.11,5.53
6.76,4.98
7.42,4.44
8.07,3.89
8.23,4.6
8.39,5.31
8.55,6.03
7.33,5.73
6.11,5.43
4.9,5.13
4.52,5.29
4.14,5.44
3.76,5.6
3.56,5.78
3.37,5.97
3.17,6.15
3.34,6.3
3.51,6.45
3.69,6.59
3.69,6.94
3.7,7.29
3.7,7.64
4.07,7.25
4.44,6.86
4.82,6.47
5.47,6.38
6.13,6.29
6.78,6.21
6.87,5.8
6.95,5.4
7.04,4.99
6.28,4.34
5.53,3.69
4.78,3.03
4.31,3.4
3.85,3.77
3.39,4.14
3.09,3.86
2.79,3.58
2.49,3.3
2.48,3.33
2.48,3.36
2.48,3.39
2.18,3.31
1.89,3.24
1.6,3.16
2.48,3.26
3.35,3.37
4.23,3.48
5.26,4.22
6.3,4.97
7.34,5.71
6.63,5.25
5.93,4.78
5.22,4.32
5.05,3.83
4.89,3.34
4.73,2.86
4.3,2.55
3.87,2.24
3.44,1.93
2.81,1.99
2.17,2.04
1.54,2.1
1.78,2.03
2.02,1.96
2.26,1.89
2.49,2.32
2.73,2.74
2.96,3.17
3.69,3.65
4.42,4.13
5.16,4.61
5.91,5.02
6.66,5.43
7.41,5.83
7.81,5.76
8.22,5.68
8.62,5.6
8.56,5.49
8.51,5.38
8.46,5.27
8.24,4.86
8.03,4.45
7.82,4.04
7.23,4.61
6.64,5.18
6.05,5.75
5.53,5.23
5.02,4.7
4.51,4.18
4.11,4.58
3.71,4.98
3.31,5.38
3.99,5.28
4.66,5.19
5.34,5.09
6.08,5.12
6.83,5.14
7.58,5.17
7.48,4.97
7.39,4.77
7.29,4.57
6.11,3.91
